BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
1965109,Harry Potter and the goblet of fire / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.","0439139597, 9780439139595",2000.,"Arthur A. Levine Books,","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,nga,10/01/2017,2
2613376,"Harry Potter and the half-blood prince [videorecording] / Warner Bros. Pictures ; a Heyday Films production ; produced by David Heyman, David Barron ; screenplay by Steve Kloves ; directed by David Yates.",,"0780674316, 1419864173, 9780780674318, 9781419864179",c2009.,"Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards England Drama, Teenagers Conduct of life Drama, Good and evil Drama, Fantasy films, Feature films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,bal,10/01/2017,2
3130115,Harry Potter and the sorcerer's stone / J.K. Rowling ; illustrated by Jim Kay.,"Rowling, J. K.","0545790352, 9780545790352",2015.,"Arthur A. Levine Books, an imprint of Scholastic Inc.,","Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, England Juvenile fiction, Wizards Fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Fiction, England Fiction",jcbk,ncfic,NA,cap,10/01/2017,1
2446465,Harry Potter and the deathly hallows [sound recording] / J.K. Rowling.,"Rowling, J. K.","0739360388, 0739360418, 9780739360385, 9780739360415",p2007.,"Listening Library,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, England Juvenile fiction, Fantasy fiction, Bildungsromans",jccd,ncbocd,Floating,bro,10/01/2017,1
1971692,Harry Potter and the chamber of secrets [sound recording] / [J.K. Rowling].,"Rowling, J. K.","0807281948, 080728601X",p1999.,"Random House Audio,","Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jccd,ncbocd,Floating,dlr,10/01/2017,1
2277368,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.",0439784549,c2005.,"Arthur A. Levine Books,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,mon,10/01/2017,1
2648463,"Harī Pottā to himitsu no heya = Harry Potter and the Harry Potter Chamber of Secrets / J.K. Rōringu, saku ; Matsuoka Yūko, yaku.","Rowling, J. K. Harry Potter and the Chamber of Secrets","4915512398, 9784915512391",2002.,"Seizansha,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Schools Fiction, England Juvenile fiction",jcbk,ncln,NA,idc,10/01/2017,1
3203386,Harry Potter and the cursed child. Parts one and two : a new play / by Jack Thorne.,"Thorne, Jack","1338099132, 9781338099133",2016.,"Arthur A. Levine Books, an imprint of Scholastic Inc.,","Potter Harry Fictitious character Drama, Good and evil Drama, Magic Drama, Fantasy drama",acbk,nanf,NA,mag,10/01/2017,1
1894708,Harry Potter and the prisoner of Azkaban / by J.K. Rowling ; illustrations by Mary Grandpré.,"Rowling, J. K.","0439136350, 0439136369, 9780439136358",1999.,"Arthur A. Levine Books,","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,hip,10/01/2017,1
2603092,Harry Potter and the sorcerer's stone [videorecording] / Warner Bros. Pictures ; a Heyday Films/1492 Pictures/Duncan Henderson production ; screenplay by Steve Kloves ; produced by David Heyman ; directed by Chris Columbus.,,"0780674316, 1419856995, 9780780674318, 9781419856990",[2007],"Distributed by Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards England Drama, Magic England Drama, Schools England Drama, Friendship Drama, Feature films, Fantasy films, Action and adventure films, Childrens films, Fiction films, Video recordings for the hearing impaired",acdvd,cadvd,NA,cen,10/01/2017,2
