BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
2176667,0010046008065,jcbk,ncfic,J ROWLING,09/04/2007 03:01:00 PM
2277368,0010051161734,jcbk,ncfic,J ROWLING2005,07/26/2007 03:53:00 PM
2410427,0010056947814,jcbk,ncfic,J ROWLING,09/01/2007 05:43:00 PM
2410427,0010058790220,jcbk,ncnew,J ROWLING,12/01/2007 04:30:00 PM
2277368,0010051164340,jcbk,ncfic,J ROWLING2005,08/31/2007 05:51:00 PM
1894708,0010051380219,jcbk,ncfic,J ROWLING,11/17/2007 01:14:00 PM
2304178,0010054147342,jcbk,nclp,J ROWLING,08/23/2007 03:45:00 PM
2410427,0010058790154,jcbk,ncfic,J ROWLING,08/07/2007 04:06:00 PM
2410427,0010057262551,jcbk,ncfic,J ROWLING,08/16/2007 12:23:00 PM
1842723,0010057359399,jcbk,ncfic,J ROWLING,12/04/2007 03:37:00 PM
2410427,0010056947756,jcbk,ccfic,J ROWLING,07/23/2007 06:25:00 PM
